노출키워드,연관키워드,검색(PC),검색(폰),평균클릭(PC),평균클릭(폰),평클릭률(PC),평균클릭률(폰),노출광고수,경쟁도,총검색,총클릭
코로나,해외여행,7350,28900,21.5,261.1,0.32,0.96,15,높음,36250.0,282.6
코로나,방역소독기,4640,18400,51.4,427.4,1.18,2.52,15,높음,23040.0,478.8
코로나,방역,7220,15100,18.4,102.0,0.28,0.73,15,높음,22320.0,120.4
코로나,뿌리는소독제,2520,13700,11.5,185.8,0.49,1.45,15,높음,16220.0,197.3
코로나,호가든,2830,19200,9.5,122.3,0.36,0.69,7,중간,22030.0,131.8
코로나,하이네켄,2880,19100,8.0,139.4,0.3,0.77,8,중간,21980.0,147.4
코로나,손세정제,6500,31200,11.9,195.0,0.2,0.68,15,높음,37700.0,206.9
코로나,G70,31200,133800,10.1,186.0,0.04,0.15,15,높음,165000.0,196.1
코로나,지프,24600,132200,10.3,229.8,0.05,0.19,15,높음,156800.0,240.1
코로나,투싼,71600,302200,17.3,570.5,0.03,0.21,15,높음,373800.0,587.8
코로나,BMW,87100,345400,29.9,355.3,0.04,0.12,15,높음,432500.0,385.2
코로나,비둘기퇴치,2310,14100,27.8,421.8,1.3,3.21,15,높음,16410.0,449.6
코로나,온도측정기,3620,17100,19.6,349.0,0.58,2.19,15,높음,20720.0,368.6
코로나,발열체크기,3280,8860,24.4,281.8,0.8,3.45,15,높음,12140.0,306.2
창문간판,초보운전스티커,5030,29000,11.1,180.5,0.24,0.67,15,높음,34030.0,191.6
창문간판,LED간판,1670,6350,25.3,221.0,1.61,3.71,15,높음,8020.0,246.3
창문간판,어항조명,930,5810,4.5,119.0,0.5,2.18,15,높음,6740.0,123.5
창문간판,라이트패널,970,1450,30.7,28.3,3.32,1.98,15,높음,2420.0,59.0
창문간판,LED모듈,8680,15000,33.4,178.8,0.41,1.26,15,높음,23680.0,212.2
창문간판,간판종류,780,1900,14.1,69.6,1.95,3.94,15,높음,2680.0,83.7
창문간판,표지판,2750,4450,16.2,26.7,0.63,0.64,15,높음,7200.0,42.9
창문간판,숫자스티커,1200,3690,7.5,63.8,0.67,1.84,15,높음,4890.0,71.3
창문간판,화장실표지판,1070,2010,12.7,59.8,1.26,3.14,15,높음,3080.0,72.5
창문간판,LED바,4190,8690,48.4,147.3,1.23,1.8,15,높음,12880.0,195.7
창문간판,가격표,1610,2890,14.1,78.0,0.94,2.91,15,높음,4500.0,92.1
창문간판,보드판,1510,3590,8.9,43.7,0.63,1.31,15,높음,5100.0,52.6
창문간판,현판,4440,5630,67.9,77.3,1.62,1.45,15,높음,10070.0,145.2
