노출상태,노출상품명,광고그룹 이름,평균노출순위,노출수,클릭수,전환수,전환율,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,광고그룹 ID,상품 ID
빈 그룹,,k,,,,,,,,,,,grp-a001-02-000000021807485,5774536385.0
빈 그룹,,l,,,,,,,,,,,grp-a001-02-000000021807486,5774536385.0
빈 그룹,,m,,,,,,,,,,,grp-a001-02-000000021807481,5774536385.0
빈 그룹,,n,,,,,,,,,,,grp-a001-02-000000021807552,5774536385.0
빈 그룹,,o,,,,,,,,,,,grp-a001-02-000000021807546,5774536385.0
빈 그룹,,p,,,,,,,,,,,grp-a001-02-000000021807554,5774536385.0
빈 그룹,,q,,,,,,,,,,,grp-a001-02-000000021807550,5774536385.0
빈 그룹,,r,,,,,,,,,,,grp-a001-02-000000021807549,5774536385.0
빈 그룹,,s,,,,,,,,,,,grp-a001-02-000000021807551,5774536385.0
빈 그룹,,t,,,,,,,,,,,grp-a001-02-000000021807555,5774536385.0
빈 그룹,,u,,,,,,,,,,,grp-a001-02-000000022036013,5774536385.0
빈 그룹,,v,,,,,,,,,,,grp-a001-02-000000021785283,5774536385.0
빈 그룹,,w,,,,,,,,,,,grp-a001-02-000000021785266,5774536385.0
빈 그룹,,x,,,,,,,,,,,grp-a001-02-000000022036032,5774536385.0
빈 그룹,,y,,,,,,,,,,,grp-a001-02-000000021785285,5774536385.0
빈 그룹,,z,,,,,,,,,,,grp-a001-02-000000021736136,5774536385.0
빈 그룹,,za,,,,,,,,,,,grp-a001-02-000000022036028,5774536385.0
입찰가 변경인상 100>130,스티커표찰 화장실 성별 안내판,원본,11.0,7.0,0.0,0.0,0.0,0.0,0.0,on,100.0,nad-a001-02-000000144208086,grp-a001-02-000000021786478,5742885085.0
신규 소재,스티커표찰 욕실타일 성별 실내간판,a,,,,,,,,on,190.0,,grp-a001-02-000000009335164,5742885085.0
신규 소재,스티커표찰 화장실타일 성별 입간판,b,,,,,,,,on,190.0,,grp-a001-02-000000021854519,5742885085.0
신규 소재,스티커표찰 UBR욕실 성별 회사명판,c,,,,,,,,on,190.0,,grp-a001-02-000000021807519,5742885085.0
신규 소재,스티커표찰 포세린타일 성별 미용실간판,d,,,,,,,,on,190.0,,grp-a001-02-000000021807501,5742885085.0
신규 소재,스티커표찰 포세린타일 성별 아크릴게시판,e,,,,,,,,on,190.0,,grp-a001-02-000000021807488,5742885085.0
신규 소재,스티커표찰 24평아파트인테리어 성별 아크릴간판,f,,,,,,,,on,190.0,,grp-a001-02-000000021807497,5742885085.0
