상품번호(스마트스토어),판매자상품코드,채널,결제여부,상품명,스마트스토어전용 상품명,쇼핑윈도전용 상품명,판매상태,전시상태,재고수량,판매가,할인가(PC),판매자즉시할인(PC),관리자즉시할인(PC),할인가(모바일),판매자즉시할인(모바일),관리자즉시할인값(모바일),옵션,추가상품,상품속성,최소구매수량,최대구매수량,복수구매할인,포인트(상품구매),포인트(상품구매/관리자),포인트(텍스트리뷰 작성),포인트(포토/동영상리뷰 작성),포인트(한달사용 텍스트리뷰 작성),포인트(한달사용 포토/동영상리뷰 작성),포인트(톡톡친구/스토어찜고객 리뷰 작성),무이자할부,사은품,묶음배송,배송비유형,배송비결제방식,기본배송비,반품배송비,교환배송비,무료반품보험,네이버쇼핑 등록(스마트스토어),네이버쇼핑 등록(쇼핑윈도),대분류,중분류,소분류,세분류,제조사명,브랜드명,브랜드ID,모델명,브랜드인증,자체제작,맞춤제작,인증정보,판매자바코드,판매자 내부코드1,판매자 내부코드2,대표이미지 URL,판매시작일,판매종료일,모바일 미리보기 생성일,상품등록일,최종수정일,구독유형
5519456740,,스마트스토어,Y,"( 밑줄형 ) DIY 철제간판 , 도색간판",N,-,판매중,전시중,72819,1000,1000,,,1000,,,N,N,N,,,,,1.0%,0,0,0,0,0,,,,조건부 무료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,Y,N,,,,http://shop1.phinf.naver.net/20210412_140/1618211407482IACRm_PNG/19347242194962448_1636548814.png,,,,2021-04-12 17:24:39,2021-07-22 11:42:11,
5252296282,3DB_0020,스마트스토어,Y,방문포장 테이크아웃 TAKEOUT 식당 카페 LED조명 루미사인,N,-,판매중,전시중,97,189000,189000,,,189000,,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20201202_31/1606896521781frUJK_JPEG/8032364491906479_1245370839.jpg,,,,2020-12-02 17:26:33,2021-06-28 18:35:39,
5237576830,3DB_0021/3DB_0020/3DB_0014,스마트스토어,Y,TAKEOUT 네온 이니셜간판 화이트 레드 테이크아웃 카페 식당 치킨 방문포장 LED조명,N,-,판매중,전시중,349,261000,59000,202000원,,59000,202000원,,Y,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210610_69/16233000418321vMAa_PNG/24435937515498644_1230344043.png,,,,2020-11-25 10:26:43,2021-06-28 18:35:39,
5236037509,3DB_0014,스마트스토어,Y,테이크아웃간판 TAKEOUT LED간판,N,-,판매중,전시중,192,69000,69000,,,69000,,,Y,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20201124_155/160619801733503MaF_JPEG/7333797038288941_1078100510.jpg,,,,2020-11-24 15:59:06,2021-07-15 08:32:21,
5229304479,3DB_0016/3DB_0019,스마트스토어,Y,맥주잔 수제맥주 BEER 네온문자 루미사인 주점 창문조명 LED야광 BAR 치킨집 개업,N,-,판매중,전시중,599,122000,89000,33000원,,89000,33000원,,Y,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210610_74/1623300085797x0Y8v_PNG/24435981336639771_920076119.png,,,,2020-11-20 14:01:11,2021-06-28 18:35:39,
5223844191,3DB_0016,스마트스토어,Y,수제맥주 술집 카페 네온 이니셜 루미사인 문자조명 LED 나래바 무드등 차박소품 개업선물,N,-,판매중,전시중,100,165000,150000,15000원,,150000,15000원,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20201117_42/1605601338816mBNCi_JPEG/6737234542719905_371610697.jpg,,,,2020-11-17 17:41:56,2021-06-28 18:35:39,
5223485305,3DB_0018,스마트스토어,Y,셀프바 주문제작 네온 이니셜 루미사인 문자조명 LED간판 나래바 무드등 차박소품 개업선물,N,-,판매중,전시중,99,109800,99000,10800원,,99000,10800원,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20201117_46/1605592048484DhFEV_JPEG/6727944216779953_546766510.jpg,,,,2020-11-17 15:16:20,2021-06-28 18:35:39,
5058582418,3DB_0002,스마트스토어,Y,LED 오픈간판 OPEN 사인 개업선물,N,-,판매중,전시중,84,89000,69000,20000원,,69000,20000원,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20200812_116/1597196399679fmKyW_JPEG/34558733275374363_2081927002.jpg,,,,2020-08-12 10:53:31,2021-06-28 18:35:39,
5057254533,,스마트스토어,Y,LED 오픈사인 영업중 조명간판 아크릴채널 캠핑포인트문패 홈바네온 개업선물,N,-,판매중,전시중,29985,89000,89000,,,89000,,,Y,Y,N,,,,,1.0%,100,500,100,500,0,,,,조건부 무료,착불 또는 선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,Y,,,,http://shop1.phinf.naver.net/20210705_165/16254133834131IwMH_PNG/26549282111524313_1498393320.png,,,,2020-08-11 16:40:00,2021-07-24 09:30:11,
5023198084,3DB_0012,스마트스토어,Y,카페 커피 네온 루미사인 LED간판 개업선물,N,-,판매중,전시중,84,98000,89000,9000원,,89000,9000원,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,Y,,,,http://shop1.phinf.naver.net/20210723_297/1627017782199efWWu_PNG/28153677924617547_1384040904.png,,,,2020-07-20 10:23:33,2021-07-23 14:23:05,
4884956801,3DB_0011,스마트스토어,Y,네일아트 네일샵 led 조명간판,N,-,판매중,전시중,94,99000,99000,,,99000,,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20200409_50/1586416237601DBd0e_JPEG/23776976232194423_1470540656.jpg,,,,2020-04-09 16:24:40,2021-06-28 18:35:39,
4884729518,3DB_0006,스마트스토어,Y,블루네온 헤어샵 이니셜 루미사인 LED간판 입체글자 개업선물 전광판 바버샵 미용실 나래바,N,-,판매중,전시중,50,218000,199000,19000원,,199000,19000원,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20200409_8/1586409005240DA3Mk_JPEG/23770547864960940_1997691286.jpg,,,,2020-04-09 14:28:37,2021-06-28 18:35:39,
4397033097,,스마트스토어,Y,A4 철제입간판 POP스탠드 매장입구간판,N,-,판매중,전시중,33,80000,77000,3000원,,77000,3000원,,N,N,N,,,,,1.0%,0,0,0,0,0,,,,유료,선결제,5500,5500,11000,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20190329_288/signcody4657_1553824896217F2TUP_JPEG/77132055837963119_2028191854.jpg,,,,2019-03-29 11:21:15,2021-06-28 10:19:28,
