"스토어팜 보고서(매일)(2021.07.08.~2021.07.08.),signcody"
"캠페인유형","캠페인","광고그룹","소재","평균노출순위","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)","전환수","전환율(%)","전환매출액(원)","전환당비용(원)","광고수익률(%)"
"쇼핑검색","스토어팜","e#12상중#캠핑간판","nad-a001-02-000000138288682","12.9","8","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","e#12상중#캠핑간판","nad-a001-02-000000138288685","6.2","66","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","e#12상중#캠핑간판","nad-a001-02-000000138288742","6.9","86","1","1.17","418","418","0","0","0","0","0"
"쇼핑검색","스토어팜","e#12상중#캠핑간판","nad-a001-02-000000141207108","11.1","8","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","g#14상중#오픈네온사인","nad-a001-02-000000138288651","12","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","g#14상중#오픈네온사인","nad-a001-02-000000138288652","13","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","g#14상중#오픈네온사인","nad-a001-02-000000138288654","6.4","8","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","g#14상중#오픈네온사인","nad-a001-02-000000138288656","10","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","g#14상중#오픈네온사인","nad-a001-02-000000138288661","7","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","g#14상중#오픈네온사인","nad-a001-02-000000138288663","11","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","d#11상중#포인트간판","nad-a001-02-000000138288615","7.8","16","1","6.25","374","374","0","0","0","0","0"
"쇼핑검색","스토어팜","d#11상중#포인트간판","nad-a001-02-000000138288741","16.4","8","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","d#11상중#포인트간판","nad-a001-02-000000140188113","18","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000138288580","16","17","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000138288581","33","6","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000138288582","10.4","28","1","3.58","451","451","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000138288584","42.9","7","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000138288586","43","5","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000138288588","44.3","4","1","25","451","451","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000138288591","40","8","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000138288593","32.3","4","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000138288594","33","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000141199731","13.6","14","1","7.15","396","396","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000141207039","7","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000141207046","1.3","15","2","13.34","55","110","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000141207047","4.1","9","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000141207048","8.7","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","i#16상중#LED아크릴간판","nad-a001-02-000000141207053","9","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","c#상중#화장실픽토그램","nad-a001-02-000000138288736","3","24","1","4.17","55","55","0","0","0","0","0"
"쇼핑검색","스토어팜","c#상중#화장실픽토그램","nad-a001-02-000000138288737","6","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","h#15상중#스카시간판","nad-a001-02-000000141199727","8.8","44","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","o#22상대#영업중간판","nad-a001-02-000000138288556","6.2","43","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","o#22상대#영업중간판","nad-a001-02-000000138288559","4.1","64","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","o#22상대#영업중간판","nad-a001-02-000000138288561","12.8","14","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","o#22상대#영업중간판","nad-a001-02-000000138288563","8.2","25","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","o#22상대#영업중간판","nad-a001-02-000000138288566","2.7","115","1","0.87","429","429","0","0","0","0","0"
"쇼핑검색","스토어팜","o#22상대#영업중간판","nad-a001-02-000000138288568","4.3","65","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","o#22상대#영업중간판","nad-a001-02-000000138288569","4","53","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","r#25상대#아크릴글자","nad-a001-02-000000138288732","20","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","r#25상대#아크릴글자","nad-a001-02-000000138288733","20.7","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","r#25상대#아크릴글자","nad-a001-02-000000140009396","15","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","r#25상대#아크릴글자","nad-a001-02-000000140009397","22","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","q#24상대#아크릴스카시","nad-a001-02-000000141206958","16.3","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","q#24상대#아크릴스카시","nad-a001-02-000000141206964","2.5","26","1","3.85","110","110","0","0","0","0","0"
"쇼핑검색","스토어팜","q#24상대#아크릴스카시","nad-a001-02-000000141206965","15.3","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","s#26상대#아크릴간판제작","nad-a001-02-000000141207016","8","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","n#21상대#현관호수","nad-a001-02-000000138288726","6.9","32","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","n#21상대#현관호수","nad-a001-02-000000138288727","6","21","1","4.77","121","121","0","0","0","0","0"
"쇼핑검색","스토어팜","p#23상대#아파트호수판","nad-a001-02-000000138288724","11.1","29","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","p#23상대#아파트호수판","nad-a001-02-000000138288725","10.7","24","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","t#27상대#대문문패","nad-a001-02-000000138288526","16.7","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","t#27상대#대문문패","nad-a001-02-000000138288527","15.3","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","t#27상대#대문문패","nad-a001-02-000000138288528","14","2","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","t#27상대#대문문패","nad-a001-02-000000138288530","8.1","21","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","t#27상대#대문문패","nad-a001-02-000000138288532","7.9","8","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","t#27상대#대문문패","nad-a001-02-000000138288534","10.2","16","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","t#27상대#대문문패","nad-a001-02-000000138288537","4.8","48","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","t#27상대#대문문패","nad-a001-02-000000138288540","15","3","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","t#27상대#대문문패","nad-a001-02-000000138288714","28","1","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","t#27상대#대문문패","nad-a001-02-000000141206903","3.3","6","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","za#9아크릴간판 아파트동 현관문번호 현관호수","nad-a001-02-000000140183825","8.3","14","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","za#9아크릴간판 아파트동 현관문번호 현관호수","nad-a001-02-000000140183846","9.7","12","0","0","0","0","0","0","0","0","0"
"쇼핑검색","스토어팜","za#9아크릴간판 아파트동 현관문번호 현관호수","nad-a001-02-000000140183847","5.1","22","2","9.1","363","726","2","100","10,000","363","1,377.41"
"쇼핑검색","스토어팜","za#9아크릴간판 아파트동 현관문번호 현관호수","nad-a001-02-000000140183848","5","35","1","2.86","374","374","0","0","0","0","0"
"쇼핑검색","스토어팜","za#9아크릴간판 아파트동 현관문번호 현관호수","nad-a001-02-000000140183849","9.1","18","0","0","0","0","0","0","0","0","0"
