광고그룹 ID,상품 ID,소재 입찰가,노출상품명
grp-a001-02-000000021807496,5742869576.0,190.0,스티커인쇄 차량번호판 잠시외출중 스텐실 욕실 차량핸드폰번호
grp-a001-02-000000021807523,5742869576.0,190.0,린넨원단 아크릴 글자스티커 강아지이름표 나노코팅 투명칸막이
grp-a001-02-000000021807511,5742869576.0,190.0,린넨원단 도어사인 안내판 반지각인 욕조교체 관계자외출입금지
grp-a001-02-000000009335164,5742862282.0,190.0,미니간판 야채탈수기 벽등 레이저포인터 상가임대 화장실수납장
grp-a001-02-000000021854519,5742862282.0,190.0,도로표지판 커피잔 LED거실등 포인트 양도양수 주방리모델링
grp-a001-02-000000021807519,5742862282.0,190.0,도로표지판 유리컵 벽등 포인트 상가매매 욕실리모델링
grp-a001-02-000000021807501,5742862282.0,190.0,아크릴스카시 다도세트 조명 포인트 편의점창업 인테리어액자
grp-a001-02-000000021807488,5742862282.0,190.0,네온조명 도자기 캠핑조명 포인트 편의점창업 액자
grp-a001-02-000000021807497,5742862282.0,190.0,아크릴간판 야채탈수기 벽조명 포인트 가게 콘솔
grp-a001-02-000000021807496,5742862282.0,190.0,회전간판 청소용품 베란다타일 레이저포인터 양도양수 아파트리모델링
grp-a001-02-000000021807523,5742862282.0,190.0,교통표지판 예쁜접시 단독주택 레이저포인터 소자본창업 예쁜인테리어가구
grp-a001-02-000000021807511,5742862282.0,190.0,철제입간판 때비누 바닥타일 포인트 양도양수 인테리어액자
grp-a001-02-000000009335164,5742862280.0,190.0,안전표지판 스카시간판 조명쇼핑몰 실링왁스
grp-a001-02-000000021854519,5742862280.0,190.0,스카시 간접조명 레일등 실링왁스
grp-a001-02-000000021807519,5742862280.0,190.0,아크릴제작 어닝 전등 액자제작
grp-a001-02-000000021807501,5742862280.0,190.0,돌출간판 간접조명 스탠드조명 실링왁스
grp-a001-02-000000021807488,5742862280.0,190.0,스카시간판 실내간판 스탠드조명 얼굴가리개
grp-a001-02-000000021807497,5742862280.0,190.0,거치대 입간판 LED거울 아크릴케이스
grp-a001-02-000000021807496,5742862280.0,190.0,LED모듈 간판가격 조명쇼핑몰 어린이집생일선물
grp-a001-02-000000021807523,5742862280.0,190.0,현판 스카시 전등 전기판넬
grp-a001-02-000000021807511,5742862280.0,190.0,가판대 미니간판 거실조명 사은품
grp-a001-02-000000009335164,5731013038.0,190.0,현대칼라시트지 HL 조명용 1롤
grp-a001-02-000000021854519,5731013038.0,190.0,현대칼라시트지 HL 조명용 1롤
grp-a001-02-000000021807519,5731013038.0,190.0,현대칼라시트지 HL 조명용 1롤
grp-a001-02-000000021807501,5731013038.0,190.0,현대칼라시트지 HL 조명용 1롤
grp-a001-02-000000021807488,5731013038.0,190.0,현대칼라시트지 HL 조명용 1롤
grp-a001-02-000000021807497,5731013038.0,190.0,현대칼라시트지 HL 조명용 1롤
