광고그룹 ID,소재 ID,소재 입찰가
grp-a001-02-000000021807497,nad-a001-02-000000138288637,260
grp-a001-02-000000021807501,nad-a001-02-000000138288609,350
grp-a001-02-000000021786478,nad-a001-02-000000138272072,370
grp-a001-02-000000022036032,nad-a001-02-000000141199720,370
grp-a001-02-000000021785266,nad-a001-02-000000141199728,370
grp-a001-02-000000021807481,nad-a001-02-000000141199729,250
grp-a001-02-000000021807488,nad-a001-02-000000141199734,370
grp-a001-02-000000021785283,nad-a001-02-000000141199733,330
grp-a001-02-000000021807555,nad-a001-02-000000141199724,330
grp-a001-02-000000021854519,nad-a001-02-000000141199726,260
grp-a001-02-000000021786478,nad-a001-02-000000138272073,370
grp-a001-02-000000021785266,nad-a001-02-000000138287075,410
grp-a001-02-000000021807496,nad-a001-02-000000138288663,350
grp-a001-02-000000021807511,nad-a001-02-000000138288593,350
grp-a001-02-000000022036028,nad-a001-02-000000140183844,130
grp-a001-02-000000021807497,nad-a001-02-000000138288642,260
grp-a001-02-000000021807501,nad-a001-02-000000138288614,340
grp-a001-02-000000021785266,nad-a001-02-000000138287071,410
grp-a001-02-000000021807555,nad-a001-02-000000138288540,410
grp-a001-02-000000021807481,nad-a001-02-000000138288518,330
grp-a001-02-000000021786478,nad-a001-02-000000138272077,130
grp-a001-02-000000021807511,nad-a001-02-000000138288594,290
grp-a001-02-000000021807497,nad-a001-02-000000138288643,260
grp-a001-02-000000021736136,nad-a001-02-000000138287049,170
grp-a001-02-000000021807501,nad-a001-02-000000138288615,290
grp-a001-02-000000021786478,nad-a001-02-000000142168275,260
grp-a001-02-000000021786478,nad-a001-02-000000142168276,280
grp-a001-02-000000021807481,nad-a001-02-000000138288515,410
grp-a001-02-000000021807488,nad-a001-02-000000138288682,370
grp-a001-02-000000021807496,nad-a001-02-000000138288661,350
